id,semantic_groups,preflabel,synonyms,description,name
UBERON:0000007,ANAT,pituitary gland,NA,NA,pituitary gland
UBERON:0001007,ANAT,human digestive system,NA,NA,human digestive system
UBERON:0002037,ANAT,cerebellum,NA,NA,NA
UBERON:0002369,ANAT,adrenal gland,NA,NA,adrenal gland
UMLS:C0023206,CHEM,Lectin,NA,NA,lectin
UniProt:O75477,GENE,ER lipid raft associated 1,ERLIN1|Endoplasmic reticulum lipid raft-associated protein 1|SPFH domain-containing protein 1|Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1|Protein KE04,mammalian protein found in Homo sapiens,ER lipid raft associated 1
UniProt:O94905,GENE,ER lipid raft associated 2,ERLIN2|Endoplasmic reticulum lipid raft-associated protein 2|SPFH domain-containing protein 2|Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2,mammalian protein found in Homo sapiens,ER lipid raft associated 2
UniProt:Q96K19,GENE,Ring finger protein 170,RNF170|Putative LAG1-interacting protein|RING finger protein 170,mammalian protein found in Homo sapiens,Ring finger protein 170
UniProt:P55072,GENE,Valosin containing protein,VCP|Valosin-containing protein|15S Mg(2+)-ATPase p97 subunit,mammalian protein found in Homo sapiens,Valosin containing protein
UniProt:Q9Y5P6,GENE,GDP-mannose pyrophosphorylase B,GDP-mannose pyrophosphorylase B|GMPPB|GTP-mannose-1-phosphate guanylyltransferase beta,mammalian protein found in Homo sapiens,GDP-mannose pyrophosphorylase B
UniProt:Q9NRG9,GENE,Aladin WD repeat nucleoporin,AAAS|Adracalin,mammalian protein found in Homo sapiens,Aladin WD repeat nucleoporin
UniProt:Q96IJ6,GENE,GDP-mannose pyrophosphorylase A,GMPPA|GDP-mannose pyrophosphorylase A|GTP-mannose-1-phosphate guanylyltransferase alpha|GMPP-alpha,mammalian protein found in Homo sapiens,GDP-mannose pyrophosphorylase A
UniProt:Q9UKM7,GENE,Mannosidase alpha class 1B member 1,"ERMan1|ER alpha-1,2-mannosidase|ER mannosidase 1|Man9GlcNAc2-specific-processing alpha-mannosidase|Mannosidase alpha class 1B member 1|MAN1B1",mammalian protein found in Homo sapiens,Mannosidase alpha class 1B member 1
InterPro:IPR001680,GENE,WD40 repeat,WD40_repeatIPR001680,InterPro Repeat,WD40 repeat
HGNC:17646,GENE,NGLY1,CDDG|CDG1V|N-glycanase 1|NGLY1|PNG1|PNGase,protein-coding gene in the species Homo sapiens,N-glycanase 1
KEGG-path:map04141,PHYS,Protein processing in endoplasmic reticulum,NA,Biochemical pathway,Protein processing in endoplasmic reticulum
DOID:0060728,DISO,NGLY1-deficiency,Alacrimia-choreoathetosis-liver dysfunction syndrome|congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG,Human disease,NA
HGNC:633,GENE,AQP1,CO|AQP-CHIP|AQP1|aquaporin 1 (Colton blood group)|CHIP28,protein-coding gene in the species Homo sapiens,aquaporin 1 (Colton blood group)
KEGG-path:map04976,PHYS,Bile secretion,NA,Biochemical pathway,Bile secretion
KEGG-path:map04964,PHYS,Proximal tubule bicarbonate reclamation,NA,Biochemical pathway,Proximal tubule bicarbonate reclamation
KEGG-path:maphsa04924,PHYS,Renin secretion,NA,Biochemical pathway,Renin secretion
InterPro:IPR000425,GENE,Major intrinsic protein,MIP|IPR000425,InterPro Family,Major intrinsic protein
HGNC:642,GENE,AQP8,AQP8|AQP-8|aquaporin 8,protein-coding gene in the species Homo sapiens,aquaporin 8
HGNC:634,GENE,AQP2,AQP-CD|aquaporin 2|WCH-CD|AQP2,protein-coding gene in the species Homo sapiens,aquaporin 2
HGNC:637,GENE,AQP4,AQP4|aquaporin 4|HMIWC2|MIWC|WCH4,protein-coding gene in the species Homo sapiens,aquaporin 4
HGNC:638,GENE,AQP5,AQP5|AQP-5|aquaporin 5|PPKB,protein-coding gene in the species Homo sapiens,aquaporin 5
HGNC:639,GENE,AQP6,KID|AQP2L|AQP6|aquaporin 6,protein-coding gene in the species Homo sapiens,aquaporin 6
HGNC:7103,GENE,MIP,MIP|major intrinsic protein of lens fiber|CTRCT15|MIP26|MP26|AQP0|LIM1,protein-coding gene in the species Homo sapiens,major intrinsic protein of lens fiber
UniProt:P29972,GENE,Aquaporin 1 (Colton blood group),"AQP1|Aquaporin-CHIP|Water channel protein for red blood cells and kidney proximal tubule|aquaporin 1 (channel-forming integral protein, 28kDa, CO blood group)|aquaporin 1, Colton blood group antigen|aquaporin-1|channel-like integral membrane protein, 28-kDa|urine water channel",mammalian protein found in Homo sapiens,Aquaporin 1 (Colton blood group)
UniProt:O94778,GENE,Aquaporin 8,AQP8|aquaporin-8,mammalian protein found in Homo sapiens,Aquaporin 8
UniProt:P41181,GENE,Aquaporin 2,AQP-CD|WCH-CD|AQP-2|aquaporin-2|AQP2|ADH water channel|Water channel protein for renal collecting duct|aquaporin 2 (collecting duct)|aquaporin-CD|collecting duct water channel protein|water-channel aquaporin 2,mammalian protein found in Homo sapiens,Aquaporin 2
UniProt:P55087,GENE,Aquaporin 4,AQP4|Mercurial-insensitive water channel|MIWC|WCH4|aquaporin-4|aquaporin type4,mammalian protein found in Homo sapiens,Aquaporin 4
UniProt:P55064,GENE,Aquaporin 5,AQP5|aquaporin-5,mammalian protein found in Homo sapiens,Aquaporin 5
UniProt:Q13520,GENE,Aquaporin 6,"AQP6|Aquaporin-2-like|hKID|AQP-6|aquaporin-6|aquaporin 2-like, kidney specific|aquaporin-6, kidney specific|kidney-specific aquaporin",mammalian protein found in Homo sapiens,Aquaporin 6
UniProt:P30301,GENE,Major intrinsic protein of lens fiber,MIP|MIP26|MP26|Aquaporin-0|lens fiber major intrinsic protein|aquaporin 0,mammalian protein found in Homo sapiens,Major intrinsic protein of lens fiber
CHEBI:506227,CHEM,N-acetyl-D-glucosamine,"N-Acetyl-D-glucosamine|GlcNAc|N-Acetylchitosamine|2-Acetamido-2-deoxy-D-glucose|2-Acetamido-2-deoxy-D-glucopyranose|N-Acetylglucosamine|N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide|Acetylglucosamine|2-Acetamido-2-deoxyglucose|2-Acetamido-D-glucose|2-(Acetylamino)-2-deoxyhexose|2-Acetylamino-2-deoxy-D-glucose",chemical compound,NA
HMDB:HMDB00215,CHEM,N-Acetyl-D-glucosamine,"N-Acetyl-D-glucosamine|GlcNAc|N-Acetylchitosamine|2-Acetamido-2-deoxy-D-glucose|2-Acetamido-2-deoxy-D-glucopyranose|N-Acetylglucosamine|N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide|Acetylglucosamine|2-Acetamido-2-deoxyglucose|2-Acetamido-D-glucose|2-(Acetylamino)-2-deoxyhexose|2-Acetylamino-2-deoxy-D-glucose","N-Acetyl-D-Glucosamine (N-acetlyglucosamine) is a monosaccharide derivative of glucose. Chemically it is an amide between glucosamine and acetic acid. A single N-acetlyglucosamine moiety linked to serine or threonine residues on nuclear and cytoplasmic proteins -O-GlcNAc, is an ubiquitous post-translational protein modification. O-GlcNAc modified proteins are involved in sensing the nutrient status of the surrounding cellular environment and adjusting the activity of cellular proteins accordingly. O-GlcNAc regulates cellular responses to hormones such as insulin, initiates a protective response to stress, modulates a cell's capacity to grow and divide, and regulates gene transcription. In humans, it exists in skin, cartilage and blood vessel as a component of hyaluronic acid, and bone tissue, cornea and aorta as a component of keratan sulfate.",NA
DrugBank:DB00141,CHEM,N-Acetylglucosamine,2-Acetamido-2-deoxy-D-glucose|aldehydo-N-acetyl-D-glucosamine|D-GlcNAc|N-Acetyl-D-glucosamine|N-Acetylchitosamine,The N-acetyl derivative of glucosamine.,NA
CHEBI:17411,CHEM,N-Acetyl-D-glucosamine,D-GlcNAc|GlcNAc|N-Acetyl-beta-D-glucosamine|BetaGlcNAc|N-Acetyl-β-D-glucosamine,pharmaceutical drug,NA
GO:0006040,PHYS,amino sugar metabolic process,amino sugar metabolism|aminosaccharide metabolic process|aminosaccharide metabolism,"The chemical reactions and pathways involving any amino sugar, sugars containing an amino group in place of a hydroxyl group.",amino sugar metabolic process
GO:0006536,PHYS,glutamate metabolic process,GO:0006536|glutamic acid metabolic process|glutamic acid metabolism|glutamate metabolism,"The chemical reactions and pathways involving glutamate, the anion of 2-aminopentanedioic acid.",glutamate metabolic process
GO:0018146,PHYS,keratan sulfate biosynthetic process,keratan sulfate biosynthesis|keratan sulphate biosynthesis|keratan sulfate anabolism|keratan sulfate formation|keratan sulphate biosynthetic process|keratan sulfate synthesis,"The chemical reactions and pathways resulting in the formation of keratan sulfate, a glycosaminoglycan with repeat units consisting of beta-1,4-linked D-galactopyranosyl-beta-(1,4)-N-acetyl-D-glucosamine 6-sulfate and with variable amounts of fucose.",keratan sulfate biosynthetic process
GO:0035528,PHYS,UDP-N-acetylglucosamine biosynthesis involved in chitin biosynthesis,UDP-N-acetylglucosamine anabolism involved in chitin biosynthesis|UDP-N-acetylglucosamine formation involved in chitin biosynthesis|UDP-GlcNAc biosynthetic process involved in chitin biosynthesis|UDP-N-acetylglucosamine biosynthetic process involved in chitin biosynthetic process|UDP-N-acetylglucosamine synthesis involved in chitin biosynthesis|UDP-GlcNAc biosynthesis involved in chitin biosynthesis|UDP-GlcNAc biosynthetic process involved in chitin biosynthetic process,"The chemical reactions and pathways resulting in the formation of UDP-N-acetylglucosamine, a substance composed of N-acetylglucosamine in glycosidic linkage with uridine diphosphate, that contribute to the biosynthesis of chitin.",UDP-N-acetylglucosamine biosynthesis involved in chitin biosynthesis
FOODON:03401298,PHYS,dietary supplement,NA,product that provides additional source of nutrients,dietary supplement
CHEBI:27027,PHYS,micronutrient,NA,NA,NA
GO:0016020,ANAT,membrane,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,membrane protein
GO:0005764,ANAT,lysosome,GO:0005764,"A small lytic vacuole that has cell cycle-independent morphology and is found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if pr",NA
UBERON:0000178,ANAT,blood,NA,specialized bodily fluid in animals,NA
UBERON:0001913,ANAT,human breast milk,Fore milk|Alternative uses for breast milk|Human milk|Hindmilk|Breast milk|Foremilk|Expressed breast milk|Breastmilk|Hind milk|Boob milk,milk produced by the breasts (or mammary glands) of a human female for her infant offspring,human breast milk
UBERON:0001988,ANAT,feces,poop|faeces|excrements|tool|poo|💩,waste product from an animal's digestive tract,NA
UBERON:0001836,ANAT,saliva,NA,NA,NA
UBERON:0001088,ANAT,urine,NA,by-product of the body,NA
UBERON:0000160,ANAT,intestine,NA,alimentary canal of an animal through which food passes after having passed all stomachs,NA
UBERON:0000345,ANAT,Myelin,NA,NA,NA
CL:0000233,ANAT,platelet,"thrombocyte|trombocit|Platelet, or Thrombocyte",NA,NA
UBERON:0002367,ANAT,prostate,NA,Gland of the male reproductive system in most mammals,NA
UniProt:Q9Y223,GENE,Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,GNE|UDP-GlcNAc-2-epimerase/ManAc kinase,mammalian protein found in Homo sapiens,Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
UniProt:P51606,GENE,Renin binding protein,GlcNAc 2-epimerase|N-acetyl-D-glucosamine 2-epimerase|RENBP|Renin-binding protein|RnBP,mammalian protein found in Homo sapiens,Renin binding protein
UniProt:O60909,GENE,"Beta-1,4-galactosyltransferase 2","B4GALT2|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2",mammalian protein found in Homo sapiens,"Beta-1,4-galactosyltransferase 2"
UniProt:P15291,GENE,"Beta-1,4-galactosyltransferase 1","B4GALT1|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1",mammalian protein found in Homo sapiens,"Beta-1,4-galactosyltransferase 1"
UniProt:P07686,GENE,Hexosaminidase subunit beta,Beta-N-acetylhexosaminidase subunit beta|Cervical cancer proto-oncogene 7 protein|HCC-7|HEXB|Hexosaminidase subunit B|N-acetyl-beta-glucosaminidase subunit beta,mammalian protein found in Homo sapiens,Hexosaminidase subunit beta
UniProt:P06865,GENE,Hexosaminidase subunit alpha,HEXA|Beta-N-acetylhexosaminidase subunit alpha|Hexosaminidase subunit A|N-acetyl-beta-glucosaminidase subunit alpha,mammalian protein found in Homo sapiens,Hexosaminidase subunit alpha
UniProt:Q9UJ70,GENE,N-acetylglucosamine kinase,NAGK|GlcNAc kinase,mammalian protein found in Homo sapiens,N-acetylglucosamine kinase
UniProt:Q9BZP6,GENE,"Chitinase, acidic",CHIA|Lung-specific protein TSA1902,mammalian protein found in Homo sapiens,"Chitinase, acidic"
UniProt:Q9UK23,GENE,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Mannose 6-phosphate-uncovering enzyme|Phosphodiester alpha-GlcNAcase|NAGPA,mammalian protein found in Homo sapiens,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
UniProt:Q13231,GENE,Chitinase 1,Chitinase-1|CHIT1,mammalian protein found in Homo sapiens,Chitinase 1
UniProt:O60512,GENE,"Beta-1,4-galactosyltransferase 3","B4GALT3|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3",mammalian protein found in Homo sapiens,"Beta-1,4-galactosyltransferase 3"
UniProt:O60513,GENE,"Beta-1,4-galactosyltransferase 4","UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4|B4GALT4",mammalian protein found in Homo sapiens,"Beta-1,4-galactosyltransferase 4"
UniProt:P54802,GENE,N-acetyl-alpha-glucosaminidase,NAG|NAGLU|N-acetyl-alpha-glucosaminidase,mammalian protein found in Homo sapiens,NA
UniProt:P61626,GENE,Lysozyme,"1,4-beta-N-acetylmuramidase C|LYZ",mammalian protein found in Homo sapiens,lysozyme 1-like
UniProt:Q8WZA1,GENE,"Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)","GnT I.2|POMGNT1|UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2",mammalian protein found in Homo sapiens,"Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"
UniProt:Q6UWQ5,GENE,Lysozyme like 1,LYZL1,mammalian protein found in Homo sapiens,Lysozyme like 1
UniProt:Q7Z4W2,GENE,Lysozyme like 2,LYZL2,mammalian protein found in Homo sapiens,Lysozyme like 2
UniProt:Q96QH8,GENE,Sperm acrosome associated 5B,Lysozyme-like protein 5|SLLP-X|SPACA5|SPACA5B|Sperm-specific lysozyme-like protein X,mammalian protein found in Homo sapiens,Sperm acrosome associated 5B
UniProt:O75951,GENE,Lysozyme like 6,LYZL6,mammalian protein found in Homo sapiens,Lysozyme like 6
UniProt:P36222,GENE,Chitinase 3 like 1,CGP-39|GP-39|CHI3L1|39 kDa synovial protein|Cartilage glycoprotein 39|hCGP-39|YKL-40,mammalian protein found in Homo sapiens,Chitinase 3 like 1
UniProt:Q15782,GENE,Chitinase 3 like 2,CHI3L2|Chondrocyte protein 39|YKL-39,mammalian protein found in Homo sapiens,Chitinase 3 like 2
UniProt:Q8WVB3,GENE,Hexosaminidase D,Beta-N-acetylhexosaminidase|HEXDC|Beta-hexosaminidase D|Hexosaminidase domain-containing protein|N-acetyl-beta-galactosaminidase,mammalian protein found in Homo sapiens,Hexosaminidase D
UniProt:O60502,GENE,Meningioma expressed antigen 5 (hyaluronidase),Beta-N-acetylglucosaminidase|NCOAT|Nuclear cytoplasmic O-GlcNAcase and acetyltransferase|Beta-hexosaminidase|Beta-N-acetylhexosaminidase|Meningioma-expressed antigen 5|N-acetyl-beta-D-glucosaminidase|N-acetyl-beta-glucosaminidase|MGEA5|3.2.1.-,mammalian protein found in Homo sapiens,Meningioma expressed antigen 5 (hyaluronidase)
GO:0097316,PHYS,cellular response to N-acetyl-D-glucosamine,NA,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an N-acetyl-D-glucosamine stimulus.",cellular response to N-acetyl-D-glucosamine
GO:0097315,PHYS,response to N-acetyl-D-glucosamine,NA,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an N-acetyl-D-glucosamine stimulus.",response to N-acetyl-D-glucosamine
CHEBI:78366,CHEM,EC 2.7.1.1 (hexokinase) inhibitor,CHEBI:78366,"An EC 2.7.1.* (phosphotransferases with an alcohol group as acceptor) inhibitor that interferes with the action of hexokinase, EC 2.7.1.1, an enzyme that phosphorylates hexoses forming hexose phosphate.",EC 2.7.1.1 (hexokinase) inhibitor
CHEBI:76969,CHEM,bacterial metabolite,CHEBI:76969,Any prokaryotic metabolite produced during a metabolic reaction in bacteria.,bacterial metabolite
UniProt:P00811,GENE,"Penicillin-binding protein; beta-lactamase, intrinsically weak b4150",protein|ampC|b4150,microbial protein found in Escherichia coli str. K-12 substr. MG1655,"Penicillin-binding protein; beta-lactamase, intrinsically weak b4150"
UniProt:P27695,GENE,Apurinic/apyrimidinic endodeoxyribonuclease 1,AP endonuclease 1|APEN|APEX nuclease|Apurinic-apyrimidinic endonuclease 1|Redox factor-1|REF-1|APE-1|APEX1,mammalian protein found in Homo sapiens,Apurinic/apyrimidinic endodeoxyribonuclease 1
UniProt:O75874,GENE,"Isocitrate dehydrogenase (NADP(+)) 1, cytosolic",IDH1|IDP|Cytosolic NADP-isocitrate dehydrogenase|NADP(+)-specific ICDH|Oxalosuccinate decarboxylase,mammalian protein found in Homo sapiens,"Isocitrate dehydrogenase (NADP(+)) 1, cytosolic"
UniProt:Q6P4F1,GENE,Fucosyltransferase 10,FUT10|Fuc-TX|Fucosyltransferase 10|Fucosyltransferase X|FucT-X|Galactoside 3-L-fucosyltransferase 10,mammalian protein found in Homo sapiens,Fucosyltransferase 10
KEGG-path:map00520,PHYS,Amino sugar and nucleotide sugar metabolism,NA,Biochemical pathway,Amino sugar and nucleotide sugar metabolism
KEGG-path:map01100,PHYS,Metabolic pathways,NA,Biochemical pathway,Metabolic pathways
KEGG-path:map02010,PHYS,ABC transporters,NA,Biochemical pathway,ABC transporters
KEGG-path:map02060,PHYS,Phosphotransferase system (PTS),NA,Biochemical pathway,Phosphotransferase system (PTS)
MGI:103201,GENE,Aqp1,Aqp1|CHIP28|aquaporin 1,protein-coding gene in the species Mus musculus,aquaporin 1 (Colton blood group)
FlyBase:FBgn0000180,GENE,bib,NA,gene in the species Drosophila melanogaster,big brain
FBcv:0000435,DISO,neuroanatomy defective,NA,Drosophila melanogaster phenotype,neuroanatomy defective
MONDO:0009131,DISO,Riley-Day syndrome,"Familial Dysautonomia|HSAN 3|HSAN III|HSAN3|Hereditary Sensory and Autonomic Neuropathy Type III|Hereditary sensory and autonomic neuropathy type 3|Hereditary sensory and autonomic neuropathy type III|Neuropathy, Hereditary Sensory and Autonomic, Type III|Riley-Day Syndrome|Riley-Day syndrome",A congenital disorder caused by mutations in the IKBKAP gene. It is characterized by damage of the sympathetic and parasympathetic and sensory nervous system.,Riley-Day syndrome
MONDO:0019064,DISO,hereditary spastic paraplegia,Familial spastic paraplegia|French settlement disease|HSP|Hereditary spastic paraparesis|SPG|StrC&lt;mpell-Lorrain disease|Strumpell-Lorrain disease|Strümpell-Lorrain disease|familial spastic paraplegia|hereditary spastic paraparesis,Hereditary spastic paraplegias (HSP) comprise a genetically and clinically heterogeneous group of neurodegenerative disorders characterized by progressive spasticity and hyperreflexia of the lower limbs.,hereditary spastic paraplegia
MONDO:0009279,DISO,triple-a syndrome,2A syndrome|3A syndrome|4A syndrome|AAA syndrome|Achalasia-Addisonianism-Alacrimia syndrome|Achalasia-addisonianism-alacrima syndrome|Adrenal insufficiency-achalasia-alacrima syndrome|Allgrove Syndrome|Allgrove syndrome|Double A syndrome|Quaternary A syndrome,"Triple A syndrome is a very rare multisystem disease characterized by adrenal insufficiency with isolated glucocorticoid deficiency, achalasia, alacrima, autonomic dysfunction and neurodegeneration.",triple-a syndrome
MONDO:0013839,DISO,hereditary sensory and autonomic neuropathy type 6,Familial dysautonomia with contractures|HSAN6|Hereditary sensory and autonomic neuropathy type VI,NA,hereditary sensory and autonomic neuropathy type 6
MONDO:0014219,DISO,"alacrima, achalasia, and mental retardation syndrome",NA,NA,"alacrima, achalasia, and mental retardation syndrome"
MONDO:0015626,DISO,Charcot-Marie-tooth disease,CMT|CMT - Charcot-Marie-Tooth disease|Charcot Marie Tooth muscular atrophy|Charcot-Marie-Tooth Disease|Charcot-Marie-Tooth hereditary neuropathy|Hereditary Motor and Sensory Neuropathy|Hereditary Sensorimotor Neuropathy|Peroneal muscular atrophy,"An inherited degenerative disorder involving the peripheral nerves. It is caused by mutations in the genes that are responsible for the production of proteins necessary for the function and structure of the peripheral nerves. It is characterized by muscle atrophy and weakness in the feet, legs, hands, and arms and loss of sensation in the limbs.",Charcot-Marie-tooth disease
MONDO:0012166,DISO,"ataxia, sensory, 1, autosomal dominant",NA,NA,"ataxia, sensory, 1, autosomal dominant"
MONDO:0015286,DISO,congenital disorder of glycosylation,CDG|Carbohydrate deficient glycoprotein syndrome|carbohydrate-deficient glycoprotein syndrome,"Congenital disorder of glycosylation (CDG) is a fast growing group of inborn errors of metabolism characterized by defective activity of enzymes that participate in glycosylation (modification of proteins and other macromolecules by adding and processing of oligosaccharide side chains). CDG is comprised of phenotypically diverse disorders affecting multiple systems including the central nervous system, muscle function, immunity, endocrine system, and coagulation. The numerous entities in this group are subdivided, based on the synthetic pathway affected, into disorder of protein N-glycosylation, disorder of protein O-glycosylation, disorder of multiple glycosylation, and disorder of glycosphingolipid and glycosylphosphatidylinositol anchor glycosylation (see these terms).",congenital disorder of glycosylation
MONDO:0014109,DISO,NGLY1-deficiency,NGLY1 deficiency|NGLY1-CDDG|congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1,"A rare autosomal recessive inherited disorder caused by mutations in the NGLY1 gene. It is characterized by developmental delay, hypotonia, abnormal involuntary movements, poor tear production, microcephaly, intractable seizures, abnormal eye movements, and liver abnormalities.",NA
MONDO:0019502,DISO,autosomal recessive non-syndromic intellectual disability,"AR-NSID|NS-ARID|autosomal recessive mental retardation|autosomal recessive non-syndromic mental retardation|non-syndromic intellectual disability, autosomal recessive",Autosomal recessive form of non-syndromic intellectual disability.,autosomal recessive non-syndromic intellectual disability
