id:ID,:LABEL,preflabel,synonyms:IGNORE,description
NCBIGene:4778,GENE,NFE2,NA,None
FBbt:00004751PHENOTYPE,DISO,wing vein phenotype,NA,None
ZFIN:ZDB-GENE-030131-9704,GENE,crtac1a,NA,None
MGI:1925544,GENE,Rps27a,NA,None
NCBIGene:653437,GENE,AQP12B,NA,None
WormBase:WBGene00000179,GENE,aqp-11,NA,None
ZP:0003175,DISO,abnormal(ly) decreased rate cell proliferation in midbrain,NA,None
NCBIGene:540143,GENE,GK2,NA,None
MGI:1097152,GENE,Ptpro,NA,None
HP:0011025,DISO,Abnormality of cardiovascular system physiology,NA,None
NCBIGene:100031666,GENE,NGLY1,NA,None
NCBIGene:100427195,GENE,GATAD1,NA,None
ZFIN:ZDB-GENE-030131-7038,GENE,spry2,NA,None
NCBIGene:748141,GENE,NFE2,NA,None
RGD:1306888,GENE,Nfe2,NA,None
REACT:R-HSA-392499,PHYS,Metabolism of proteins,NA,None
HP:0001746,DISO,Asplenia,NA,None
NCBIGene:100021317,GENE,RAD23A,NA,None
ClinVarVariant:221580,VARI,NM_018297.3(NGLY1):c.1169G>C (p.Arg390Pro),NA,None
NCBIGene:540944,GENE,TRAF1,NA,None
NCBIGene:23764,GENE,MAFF,NA,None
RGD:1309531,GENE,Maff,NA,None
NCBIGene:100509620,GENE,LOC100509620,NA,None
MP:0010088,DISO,decreased circulating fructosamine level,NA,None
ZFIN:ZDB-GENE-061009-29,GENE,si:dkey-147f3.4,NA,None
NCBIGene:100056376,GENE,FBXO6,NA,None
WormBase:WBGene00000546,GENE,clp-6,NA,None
Xenbase:XB-GENE-990196,GENE,capn1,NA,None
RGD:1593000,GENE,Krtap9-1,NA,None
Xenbase:XB-GENE-981873,GENE,engase,NA,None
MGI:2443788,GENE,Engase,NA,None
WormBase:WBGene00017284,GENE,sec-6,NA,None
Xenbase:XB-GENE-979857,GENE,ubxn1,NA,None
FBbt:00000211PHENOTYPE,DISO,embryonic/larval trachea phenotype,NA,None
UBERON:0000074,ANAT,renal glomerulus,NA,None
NCBIGene:823571,GENE,DPBF2,NA,None
GO:0071549,PHYS,cellular response to dexamethasone stimulus,NA,None
NCBIGene:739880,GENE,AQP10,NA,None
NCBIGene:100567572,GENE,aqp2,NA,None
HP:0001271,DISO,Polyneuropathy,NA,None
MGI:103036,GENE,Stat5a,NA,None
GO:0061180PHENOTYPE,PHYS,mammary gland epithelium development phenotype,NA,None
NCBIGene:842845,GENE,UBQ13,NA,None
NCBIGene:100059096,GENE,ADAMTSL4,NA,None
FlyBase:FBgn0029791,GENE,CG4096,NA,None
NCBIGene:100065814,GENE,BACH2,NA,None
NCBIGene:463298,GENE,NFE2L3,NA,None
NCBIGene:65265,GENE,C8orf33,NA,None
ZFIN:ZDB-GENE-030820-2,GENE,stat5a,NA,None
CL:0002328,ANAT,bronchial epithelial cell,NA,None
NCBIGene:100147810,GENE,AQP2,NA,None
Xenbase:XB-GENE-482101,GENE,spry2,NA,None
NCBIGene:100567659,GENE,aqp1,NA,None
WormBase:WBGene00009878,GENE,F49C12.9,NA,None
NCBIGene:100021674,GENE,UBQLN1,NA,None
HP:0002090,DISO,Pneumonia,NA,None
HP:0002093,DISO,Respiratory insufficiency,NA,None
NCBIGene:100737978,GENE,IKZF2,NA,None
NCBIGene:101885864,GENE,LOC101885864,NA,None
NCBIGene:100023076,GENE,CA12,NA,None
NCBIGene:100055579,GENE,CA9,NA,None
NCBIGene:768,GENE,CA9,NA,None
NCBIGene:100559118,GENE,LOC100559118,NA,None
ZFIN:ZDB-GENE-040718-128,GENE,rgs20,NA,None
NCBIGene:740330,GENE,RGS20,NA,None
NCBIGene:739089,GENE,GK,NA,None
NCBIGene:100052644,GENE,RPS27A,NA,None
Xenbase:XB-GENE-481926,GENE,aqp8,NA,None
NCBIGene:833765,GENE,AT5G37870,NA,None
ZFIN:ZDB-GENE-080213-13,GENE,zgc:174719,NA,None
HP:0000939,DISO,Osteoporosis,NA,None
WormBase:WBGene00004344,GENE,rgs-1,NA,None
NCBIGene:79734,GENE,KCTD17,NA,None
NCBIGene:100127153,GENE,AQP9,NA,None
NCBIGene:386682,GENE,KRTAP10-3,NA,None
ZFIN:ZDB-GENE-040426-2190,GENE,amfra,NA,None
RGD:1311551,GENE,Amfr,NA,None
NCBIGene:712934,GENE,UBC,NA,None
MGI:1928387,GENE,B4galt4,NA,None
GO:0000228PHENOTYPE,PHYS,nuclear chromosome phenotype,NA,None
MGI:88059,GENE,App,NA,None
HP:0011034,DISO,Amyloidosis,NA,None
NCBIGene:100019709,GENE,KCTD9,NA,None
NCBIGene:735643,GENE,AMFR,NA,None
NCBIGene:842984,GENE,AT1G66660,NA,None
NCBIGene:106505015,GENE,NFE2L1,NA,None
NCBIGene:100337549,GENE,LOC100337549,NA,None
NCBIGene:2713,GENE,GK3P,NA,None
RGD:70893,GENE,Gk,NA,None
FBbt:00005397PHENOTYPE,DISO,Drosophila embryonic epidermis phenotype,NA,None
RGD:1305877,GENE,Gns,NA,None
NCBIGene:820368,GENE,AT3G11950,NA,None
HP:0000029,DISO,Testicular atrophy,NA,None
HP:0012311,DISO,Monocytosis,NA,None
UBERON:0010307,ANAT,conjunctival fornix,NA,None
RGD:619953,GENE,Mafg,NA,None
NCBIGene:100018758,GENE,CEP44,NA,None
FlyBase:FBgn0035392,GENE,CG1271,NA,None
ZP:0003104,DISO,abnormal(ly) present in fewer numbers in organism esophageal epithelium mucus secreting cell,NA,None
MP:0005386,DISO,behavior/neurological phenotype,NA,None
:.well-known/genid/genoGM25340,GENO,NGLY1;NGLY1(ARG401TER;c.1891delC) [GM25340],NA,None
NCBIGene:835005,GENE,bZIP1,NA,None
NCBIGene:83755,GENE,KRTAP4-12,NA,None
GO:0000278PHENOTYPE,PHYS,mitotic cell cycle phenotype,NA,None
WormBase:WBGene00008547,GENE,F07A11.4,NA,None
NCBIGene:818691,GENE,UBP5,NA,None
RGD:1308668,GENE,Lingo1,NA,None
WormBase:WBGene00016871,GENE,inso-1,NA,None
Xenbase:XB-GENE-6066017,GENE,ubc,NA,None
NCBIGene:829547,GENE,ABF3,NA,None
MP:0005390,DISO,skeleton phenotype,NA,None
WormBase:WBGene00008095,GENE,C44H4.6,NA,None
NCBIGene:534935,GENE,TCF4,NA,None
RGD:1563804,GENE,Hcfc1,NA,None
NCBIGene:838442,GENE,AT1G18610,NA,None
ZFIN:ZDB-GENE-040801-53,GENE,zgc:100832,NA,None
NCBIGene:463330,GENE,AQP1,NA,None
NCBIGene:100514576,GENE,ADAMTSL4,NA,None
WormBase:WBGene00009958,GENE,madd-4,NA,None
WBPhenotype:0000644,DISO,paralyzed,NA,None
NCBIGene:100020418,GENE,AQP10,NA,None
WormBase:WBGene00021507,GENE,Y41D4A.5,NA,None
REACT:R-HSA-597592,PHYS,Post-translational protein modification,NA,None
NCBIGene:60412,GENE,EXOC4,NA,None
NCBIGene:106504059,GENE,EXOC4,NA,None
Xenbase:XB-GENE-478869,GENE,avp,NA,None
NCBIGene:100066876,GENE,KRT33B,NA,None
MGI:1924057,GENE,Phf12,NA,None
NCBIGene:828356,GENE,INP1,NA,None
MGI:1309997,GENE,Krtap9-1,NA,None
WormBase:WBGene00020597,GENE,T20B6.1,NA,None
GO:0034599PHENOTYPE,PHYS,cellular response to oxidative stress phenotype,NA,None
MGI:1916701,GENE,2300003K06Rik,NA,None
NCBIGene:419526,GENE,KCTD9,NA,None
NCBIGene:100017974,GENE,NFE2L1,NA,None
Xenbase:XB-GENE-984755,GENE,trim23,NA,None
Xenbase:XB-GENE-484627,GENE,mip,NA,None
ZFIN:ZDB-GENE-040426-2826,GENE,aqp3a,NA,None
Xenbase:XB-GENE-488014,GENE,aqp3,NA,None
UBERON:0002370,ANAT,thymus,NA,None
ZFIN:ZDB-GENE-041212-85,GENE,fbxo44,NA,None
MGI:107687,GENE,Mdfi,NA,None
HP:0008516,DISO,Abnormality of the vertebral spinous processes,NA,None
NCBIGene:100563461,GENE,spry2,NA,None
NCBIGene:822606,GENE,AT3G29450,NA,None
ZFIN:ZDB-GENE-030407-1,GENE,oxt,NA,None
RGD:2184,GENE,Avp,NA,None
Xenbase:XB-GENE-483914,GENE,nfe2,NA,None
GO:0071260,PHYS,cellular response to mechanical stimulus,NA,None
HP:0000975,DISO,Hyperhidrosis,NA,None
UBERON:0000081,ANAT,metanephros,NA,None
NCBIGene:100513186,GENE,NSFL1C,NA,None
HP:0001324,DISO,Muscle weakness,NA,None
NCBIGene:840897,GENE,BZIP60,NA,None
HP:0002665,DISO,Lymphoma,NA,None
NCBIGene:825352,GENE,AT3G61790,NA,None
FlyBase:FBgn0039038,GENE,CG6688,NA,None
RGD:3090,GENE,Mip,NA,None
NCBIGene:841648,GENE,AT1G52180,NA,None
NCBIGene:828121,GENE,AT7SL-1,NA,None
REACT:R-MMU-1247673,PHYS,Erythrocytes take up oxygen and release carbon dioxide,NA,None
HP:0001743,DISO,Abnormality of the spleen,NA,None
RGD:1311154,GENE,Kctd17,NA,None
ZFIN:ZDB-GENE-071119-1,GENE,nlrc3,NA,None
NCBIGene:551,GENE,AVP,NA,None
NCBIGene:100071225,GENE,TRIM54,NA,None
MGI:1889623,GENE,Trim54,NA,None
WBPhenotype:0002369,DISO,sister cell division timing asynchrony reduced,NA,None
NCBIGene:824647,GENE,PIP2;5,NA,None
MGI:3643360,GENE,Gm7808,NA,None
ZFIN:ZDB-GENE-030131-7859,GENE,jun,NA,None
HP:0002597,DISO,Abnormality of the vasculature,NA,None
GO:0003094,PHYS,glomerular filtration,NA,None
UBERON:0002384,ANAT,connective tissue,NA,None
MGI:3705237,GENE,Gm11554,NA,None
NCBIGene:415402,GENE,AQP9,NA,None
HP:0007973,DISO,Retinal dysplasia,NA,None
NCBIGene:515219,GENE,MAFG,NA,None
MGI:3525111,GENE,Cep44,NA,None
NCBIGene:100566420,GENE,cep44,NA,None
MGI:2140371,GENE,Rusc2,NA,None
UBERON:0001891,ANAT,midbrain,NA,None
GO:0008344PHENOTYPE,PHYS,adult locomotory behavior phenotype,NA,None
GO:0003097,PHYS,renal water transport,NA,None
GO:0005215,PHYS,transporter activity,NA,None
NCBIGene:837378,GENE,SYP111,NA,None
NCBIGene:100568087,GENE,keap1,NA,None
HP:0003251,DISO,Male infertility,NA,None
MP:0000042,DISO,abnormal organ of Corti morphology,NA,None
NCBIGene:818118,GENE,bZIP16,NA,None
NCBIGene:826675,GENE,AT4G10790,NA,None
MGI:109419,GENE,Faf1,NA,None
FlyBase:FBgn0035266,GENE,Gk2,NA,None
NCBIGene:100049930,GENE,TCF4,NA,None
GO:0043234,PHYS,protein complex,NA,None
NCBIGene:395645,GENE,RGS17,NA,None
NCBIGene:834303,GENE,AT5G42910,NA,None
NCBIGene:824510,GENE,PIP2A,NA,None
HP:0001824,DISO,Weight loss,NA,None
GO:0030424PHENOTYPE,PHYS,axon phenotype,NA,None
MGI:1922862,GENE,Gns,NA,None
NCBIGene:526612,GENE,NSFL1C,NA,None
REACT:R-HSA-1480926,PHYS,O2/CO2 exchange in erythrocytes,NA,None
ZFIN:ZDB-GENE-070410-43,GENE,trafd1,NA,None
NCBIGene:100075009,GENE,TRAFD1,NA,None
MP:0000187,DISO,abnormal triglyceride level,NA,None
FBcv:0000450,DISO,developmental rate defective,NA,None
NCBIGene:770004,GENE,CA9,NA,None
NCBIGene:100069114,GENE,TRIP6,NA,None
MGI:1343458,GENE,Trip6,NA,None
HP:0002206,DISO,Pulmonary fibrosis,NA,None
NCBIGene:828156,GENE,LRB3,NA,None
NCBIGene:100062573,GENE,PSMC1,NA,None
FBbt:00004729PHENOTYPE,DISO,Drosophila wing phenotype,NA,None
NCBIGene:844385,GENE,NHO1,NA,None
NCBIGene:5886,GENE,RAD23A,NA,None
FlyBase:FBgn0025702,GENE,Srpk79D,NA,None
NCBIGene:100021944,GENE,APP,NA,None
MGI:1857807,GENE,Aqp1<tm1Ask>,NA,None
HP:0000103,DISO,Polyuria,NA,None
FBbt:00005554PHENOTYPE,DISO,Drosophila ventral nerve cord primordium phenotype,NA,None
NCBIGene:375318,GENE,AQP12A,NA,None
NCBIGene:100061441,GENE,LINGO1,NA,None
NCBIGene:825872,GENE,AT4G05240,NA,None
ZFIN:ZDB-GENE-090220-1,GENE,mid2,NA,None
NCBIGene:100157515,GENE,MID2,NA,None
NCBIGene:818487,GENE,PIP2E,NA,None
HP:0001659,DISO,Aortic regurgitation,NA,None
NCBIGene:819730,GENE,PLDP2,NA,None
NCBIGene:426892,GENE,AQP7,NA,None
NCBIGene:825263,GENE,AT3G60920,NA,None
NCBIGene:837324,GENE,ACA5,NA,None
WormBase:WBGene00008266,GENE,C53A5.6,NA,None
WBPhenotype:0000119,DISO,protein expression increased,NA,None
NCBIGene:698707,GENE,VCP,NA,None
NCBIGene:427164,GENE,TRIM23,NA,None
NCBIGene:101749384,GENE,AQP10,NA,None
ClinVarVariant:221579,VARI,NM_018297.3(NGLY1):c.347C>G (p.Ser116Ter),NA,None
NCBIGene:100617365,GENE,FBXW7,NA,None
Xenbase:XB-GENE-483338,GENE,nfe2l3,NA,None
FBbt:00001804PHENOTYPE,DISO,anterior dorsal histoblast nest abdominal 6 phenotype,NA,None
ZP:0000319,DISO,abnormal(ly) hydrocephalic brain,NA,None
GO:0031526,PHYS,brush border membrane,NA,None
NCBIGene:839230,GENE,ARFD1A,NA,None
NCBIGene:100518742,GENE,CREBZF,NA,None
MGI:2442164,GENE,E130308A19Rik,NA,None
NCBIGene:509232,GENE,NRF1,NA,None
GO:0042383,PHYS,sarcolemma,NA,None
ZFIN:ZDB-GENE-030131-6461,GENE,aqp7,NA,None
NCBIGene:830575,GENE,TGA10,NA,None
NCBIGene:615865,GENE,BRD9,NA,None
NCBIGene:100083013,GENE,UBXN2B,NA,None
NCBIGene:825316,GENE,PIP1A,NA,None
ZFIN:ZDB-GENE-080218-15,GENE,zgc:173570,NA,None
NCBIGene:100620791,GENE,TRIP6,NA,None
ZFIN:ZDB-GENE-140106-91,GENE,trip6,NA,None
MP:0003631,DISO,nervous system phenotype,NA,None
GO:0000976,PHYS,transcription regulatory region sequence-specific DNA binding,NA,None
MGI:1332235,GENE,Nrf1,NA,None
NCBIGene:839888,GENE,AT1G30090,NA,None
NCBIGene:844304,GENE,RAD23B,NA,None
Xenbase:XB-GENE-479726,GENE,aqp5,NA,None
NCBIGene:100622592,GENE,UBQLN1,NA,None
MGI:1913583,GENE,Aqp11,NA,None
NCBIGene:106995808,GENE,LOC106995808,NA,None
MP:0000280,DISO,thin ventricular wall,NA,None
UBERON:0002038,ANAT,substantia nigra,NA,None
UBERON:0000996,ANAT,vagina,NA,None
UBERON:0000941,ANAT,cranial nerve II,NA,None
MGI:1344333,GENE,Mid2,NA,None
NCBIGene:708161,GENE,LOC708161,NA,None
MGI:3709346,GENE,Gm11569,NA,None
NCBIGene:747083,GENE,MIP,NA,None
NCBIGene:11336,GENE,EXOC3,NA,None
NCBIGene:83899,GENE,KRTAP9-2,NA,None
MGI:1918128,GENE,Ccdc136,NA,None
UBERON:0002082,ANAT,cardiac ventricle,NA,None
NCBIGene:451261,GENE,UBXN1,NA,None
ZFIN:ZDB-GENE-050417-363,GENE,krt92,NA,None
ZFIN:ZDB-GENE-041114-103,GENE,b4galt4,NA,None
HP:0000138,DISO,Ovarian cyst,NA,None
NCBIGene:842981,GENE,AT1G66630,NA,None
MGI:108063,GENE,Siah1b,NA,None
NCBIGene:100138853,GENE,LOC100138853,NA,None
MGI:1195271,GENE,Aqp8,NA,None
HP:0008669,DISO,Abnormal spermatogenesis,NA,None
RGD:1307359,GENE,Brd9,NA,None
NCBIGene:23001,GENE,WDFY3,NA,None
WormBase:WBGene00010072,GENE,F54F12.1,NA,None
NCBIGene:444874,GENE,UBC,NA,None
WormBase:WBGene00000176,GENE,aqp-8,NA,None
MP:0008540,DISO,abnormal cerebral hemisphere morphology,NA,None
NCBIGene:510807,GENE,NFE2L3,NA,None
NCBIGene:473021,GENE,KIAA1958,NA,None
NCBIGene:100567571,GENE,rad23a,NA,None
GO:0051458PHENOTYPE,PHYS,corticotropin secretion phenotype,NA,None
RGD:1586146,GENE,Rgs20,NA,None
NCBIGene:461612,GENE,CEP44,NA,None
NCBIGene:100021009,GENE,FAF1,NA,None
NCBIGene:100031069,GENE,TRIM54,NA,None
RGD:1306453,GENE,Trim54,NA,None
RGD:1596132,GENE,Tmem25,NA,None
NCBIGene:835595,GENE,AT5G55040,NA,None
NCBIGene:824405,GENE,SYP122,NA,None
GO:0015168,PHYS,glycerol transmembrane transporter activity,NA,None
RGD:1562004,GENE,Gatad1,NA,None
MP:0010896,DISO,decreased lung compliance,NA,None
HP:0007021,DISO,Pain insensitivity,NA,None
FBbt:00001861PHENOTYPE,DISO,Drosophila median tooth phenotype,NA,None
NCBIGene:106997578,GENE,TRIP6,NA,None
NCBIGene:64772,GENE,ENGASE,NA,None
NCBIGene:9603,GENE,NFE2L3,NA,None
ZFIN:ZDB-GENE-030131-8015,GENE,crebzf,NA,None
NCBIGene:832263,GENE,UBP8,NA,None
MGI:101857,GENE,Usp15,NA,None
NCBIGene:843069,GENE,AT1G67480,NA,None
WormBase:WBGene00008267,GENE,C53A5.9,NA,None
RGD:1308004,GENE,Shpk,NA,None
NCBIGene:417607,GENE,SHPK,NA,None
FBcv:0000352,DISO,partially lethal - majority die,NA,None
NCBIGene:540932,GENE,FBXW7,NA,None
NCBIGene:100561047,GENE,cav1,NA,None
NCBIGene:782368,GENE,AQP5,NA,None
HP:0001288,DISO,Gait disturbance,NA,None
NCBIGene:702836,GENE,AQP7,NA,None
ZFIN:ZDB-GENE-040912-136,GENE,lingo1b,NA,None
ZP:0004542,DISO,abnormal(ly) mislocalised otolith,NA,None
GO:0051458,PHYS,corticotropin secretion,NA,None
NCBIGene:820573,GENE,AT3G13672,NA,None
NCBIGene:771,GENE,CA12,NA,None
MP:0008489,DISO,slow postnatal weight gain,NA,None
REACT:R-HSA-382551,PHYS,Transmembrane transport of small molecules,NA,None
NCBIGene:100017218,GENE,ADAMTSL4,NA,None
MP:0010855,DISO,pulmonary hyperemia,NA,None
NCBIGene:702721,GENE,AQP3,NA,None
ZFIN:ZDB-GENE-041001-139,GENE,bach2b,NA,None
ZFIN:ZDB-GENE-040426-2334,GENE,nfe2l3,NA,None
HP:0030759,DISO,Adipocyte hypertrophy,NA,None
FBcv:0000414,DISO,locomotor behavior defective,NA,None
HP:0002720,DISO,IgA deficiency,NA,None
FBbt:00005741PHENOTYPE,DISO,embryonic head epidermis phenotype,NA,None
FlyBase:FBgn0028743,GENE,Dhit,NA,None
WormBase:WBGene00004753,GENE,sec-8,NA,None
NCBIGene:820201,GENE,SEC8,NA,None
NCBIGene:818706,GENE,EEL,NA,None
NCBIGene:784921,GENE,GATAD1,NA,None
FBcv:0002002,DISO,lethal - all die before end of larval stage,NA,None
MP:0001921,DISO,reduced fertility,NA,None
NCBIGene:697478,GENE,CEP44,NA,None
FlyBase:FBgn0051619,GENE,nolo,NA,None
NCBIGene:831316,GENE,SK13,NA,None
NCBIGene:100524483,GENE,RAD23A,NA,None
:.well-known/genid/person-3213-1,GENO,affected female proband with Congenital disorder of deglycosylation,NA,None
NCBIGene:101907097,GENE,LOC101907097,NA,None
WBPhenotype:0000638,DISO,molt defect,NA,None
NCBIGene:100018470,GENE,LOC100018470,NA,None
NCBIGene:100616516,GENE,BACH2,NA,None
NCBIGene:100517203,GENE,NRF1,NA,None
NCBIGene:100558273,GENE,gk,NA,None
FBbt:00001871PHENOTYPE,DISO,Drosophila embryonic/larval proventriculus phenotype,NA,None
NCBIGene:282679,GENE,AQP11,NA,None
NCBIGene:100513958,GENE,TRIM23,NA,None
MP:0020321,DISO,increased vascular endothelial cell apoptosis,NA,None
MP:0001176,DISO,abnormal lung development,NA,None
Xenbase:XB-GENE-5797733,GENE,fbxo6,NA,None
ZFIN:ZDB-GENE-070912-475,GENE,csrnp1a,NA,None
NCBIGene:515406,GENE,CSRNP1,NA,None
NCBIGene:708422,GENE,EXOC3,NA,None
NCBIGene:615498,GENE,AQP7,NA,None
NCBIGene:472513,GENE,NRF1,NA,None
FBbt:00001997PHENOTYPE,DISO,Drosophila intersegmental nerve phenotype,NA,None
FBbt:00000755PHENOTYPE,DISO,abdominal 3 lateral longitudinal muscle 1 phenotype,NA,None
UBERON:0001017,ANAT,central nervous system,NA,None
WormBase:WBGene00015688,GENE,C10G11.8,NA,None
DOID:10763,DISO,hypertension,NA,None
NCBIGene:100560015,GENE,capn1,NA,None
NCBIGene:100061033,GENE,GSK3B,NA,None
NCBIGene:747490,GENE,VCP,NA,None
NCBIGene:746960,GENE,ADAMTSL4,NA,None
CL:0000023,ANAT,oocyte,NA,None
NCBIGene:100052573,GENE,UBQLN1,NA,None
MGI:1918937,GENE,Tmem25,NA,None
NCBIGene:700466,GENE,TMEM25,NA,None
FBbt:00001842PHENOTYPE,DISO,embryonic/larval digestive system phenotype,NA,None
NCBIGene:819204,GENE,PIP1B,NA,None
UBERON:0005363,ANAT,inferior vagus X ganglion,NA,None
ZFIN:ZDB-GENE-081104-502,GENE,si:ch211-163b2.4,NA,None
NCBIGene:100567334,GENE,brd9,NA,None
NCBIGene:100026623,GENE,AVP,NA,None
ZFIN:ZDB-GENE-030407-2,GENE,avp,NA,None
NCBIGene:8601,GENE,RGS20,NA,None
GO:0006357,PHYS,regulation of transcription from RNA polymerase II promoter,NA,None
MP:0002182,DISO,abnormal astrocyte morphology,NA,None
RGD:1305731,GENE,Phf12,NA,None
HP:0002202,DISO,Pleural effusion,NA,None
MP:0005225,DISO,abnormal vertebrae development,NA,None
NCBIGene:426894,GENE,AQP3,NA,None
HP:0011990,DISO,Abnormality of neutrophil physiology,NA,None
NCBIGene:100065209,GENE,EXOC4,NA,None
MP:0008817,DISO,hematoma,NA,None
MP:0006413,DISO,increased T cell apoptosis,NA,None
NCBIGene:100060098,GENE,RGS17,NA,None
FBbt:00000935PHENOTYPE,DISO,Drosophila abdominal 7 lateral longitudinal muscle 1 phenotype,NA,None
NCBIGene:822665,GENE,AT3G29763,NA,None
UBERON:0002400,ANAT,parietal pleura,NA,None
NCBIGene:100066816,GENE,NFE2L2,NA,None
RGD:628633,GENE,Mafk,NA,None
NCBIGene:100021454,GENE,MAFK,NA,None
ZP:0006330,DISO,abnormal(ly) decreased process quality ammonium transport,NA,None
NCBIGene:100071005,GENE,UBA52,NA,None
MP:0011352,DISO,proximal convoluted tubule brush border loss,NA,None
NCBIGene:518878,GENE,CCDC57,NA,None
HP:0002795,DISO,Functional respiratory abnormality,NA,None
ClinVarVariant:126424,VARI,NM_001145293.1(NGLY1):c.1570C>T (p.Arg524Ter),NA,None
NCBIGene:431637,GENE,KIAA1958,NA,None
HP:0008873,DISO,Disproportionate short-limb short stature,NA,None
WBPhenotype:0001276,DISO,ectopic expression transgene,NA,None
NCBIGene:103104366,GENE,CREB3,NA,None
NCBIGene:100554748,GENE,usp15,NA,None
MESH:D008207,DISO,Lymphatic Metastasis,NA,None
HP:0001541,DISO,Ascites,NA,None
NCBIGene:533736,GENE,NGLY1,NA,None
WormBase:WBGene00006753,GENE,unc-14,NA,None
RGD:1565584,GENE,Crebzf,NA,None
NCBIGene:100026164,GENE,CREBZF,NA,None
NCBIGene:100017243,GENE,TRAF2,NA,None
FBcv:0002032,DISO,lethal - all die before end of embryonic stage,NA,None
MP:0000968,DISO,abnormal sensory neuron innervation pattern,NA,None
Xenbase:XB-GENE-484060,GENE,aqp7,NA,None
DOID:14115,DISO,toxic shock syndrome,NA,None
NCBIGene:451317,GENE,CAPN1,NA,None
RGD:1310457,GENE,Traf2,NA,None
NCBIGene:844127,GENE,TGA7,NA,None
GO:0070301,PHYS,cellular response to hydrogen peroxide,NA,None
WBPhenotype:0000054,DISO,larval lethal,NA,None
FBbt:00001134PHENOTYPE,DISO,presumptive embryonic/larval peripheral nervous system phenotype,NA,None
NCBIGene:532791,GENE,KEAP1,NA,None
FBbt:00005837PHENOTYPE,DISO,Drosophila embryonic/larval neuromuscular junction phenotype,NA,None
FBbt:00004510PHENOTYPE,DISO,Drosophila ommatidium phenotype,NA,None
WBPhenotype:0000055,DISO,early larval arrest,NA,None
WBPhenotype:0000058,DISO,late larval lethal,NA,None
MP:0008261,DISO,arrest of male meiosis,NA,None
WBPhenotype:0001405,DISO,protein aggregation variant,NA,None
RGD:1562727,GENE,Aqp12a,NA,None
NCBIGene:100516292,GENE,IKZF3,NA,None
WormBase:WBGene00000547,GENE,clp-7,NA,None
NCBIGene:843653,GENE,TIP3;1,NA,None
NCBIGene:823,GENE,CAPN1,NA,None
HP:0001882,DISO,Leukopenia,NA,None
NCBIGene:100622826,GENE,LOC100622826,NA,None
NCBIGene:100559365,GENE,LOC100559365,NA,None
ZFIN:ZDB-GENE-050107-5,GENE,gnsa,NA,None
NCBIGene:100554106,GENE,gns,NA,None
NCBIGene:100155465,GENE,LINGO1,NA,None
FBcv:0000395,DISO,locomotor rhythm defective,NA,None
MGI:103566,GENE,Cd6,NA,None
GO:0015793,PHYS,glycerol transport,NA,None
HP:0002850,DISO,IgM deficiency,NA,None
NCBIGene:1118,GENE,CHIT1,NA,None
FBbt:00004640PHENOTYPE,DISO,leg phenotype,NA,None
Xenbase:XB-GENE-1011628,GENE,tcf4,NA,None
NCBIGene:7185,GENE,TRAF1,NA,None
:.well-known/genid/mgiseqaltkey2026,GENO,tm1Ask,NA,None
MGI:3033387,GENE,Slc14a1<tm1Ask>/Slc14a1<tm1Ask>; Aqp1<tm1Ask>/Aqp1<tm1Ask> [involves: C57BL/6J],NA,None
NCBIGene:817649,GENE,SKdZeta,NA,None
NCBIGene:706535,GENE,WDFY3,NA,None
HP:0001290,DISO,Generalized hypotonia,NA,None
NCBIGene:827603,GENE,AT4G18690,NA,None
MGI:893577,GENE,Stx4a,NA,None
GO:0044241PHENOTYPE,PHYS,lipid digestion phenotype,NA,None
ZFIN:ZDB-GENE-100408-2,GENE,aqp1l,NA,None
MP:0008873,DISO,increased physiological sensitivity to xenobiotic,NA,None
NCBIGene:835896,GENE,AT5G57860,NA,None
NCBIGene:463740,GENE,EXOC4,NA,None
NCBIGene:100567887,GENE,ca12,NA,None
ZFIN:ZDB-GENE-041014-342,GENE,trim54,NA,None
HP:0002119,DISO,Ventriculomegaly,NA,None
UBERON:0007021,ANAT,sexually immature organism,NA,None
NCBIGene:467693,GENE,AQP9,NA,None
MP:0002083,DISO,premature death,NA,None
UBERON:0002477,ANAT,medial globus pallidus,NA,None
MP:0000418,DISO,focal hair loss,NA,None
FBbt:00002517PHENOTYPE,DISO,Drosophila abdominal anterior ventral multidendritic neuron vdaa phenotype,NA,None
GO:0045766,PHYS,positive regulation of angiogenesis,NA,None
WBPhenotype:0000640,DISO,egg laying variant,NA,None
ZFIN:ZDB-GENE-091214-3,GENE,lingo4b,NA,None
MGI:2685449,GENE,Rimbp3,NA,None
MP:0009237,DISO,kinked sperm flagellum,NA,None
NCBIGene:708391,GENE,TRAF2,NA,None
RGD:2626,GENE,Fos,NA,None
FBbt:00001768PHENOTYPE,DISO,Drosophila eye disc phenotype,NA,None
NCBIGene:615922,GENE,CCDC136,NA,None
NCBIGene:100558158,GENE,ivns1abp,NA,None
NCBIGene:819793,GENE,BPM2,NA,None
NCBIGene:843875,GENE,bZIP44,NA,None
NCBIGene:100018910,GENE,TRIM23,NA,None
NCBIGene:100554912,GENE,vcp,NA,None
NCBIGene:6233,GENE,RPS27A,NA,None
NCBIGene:837516,GENE,SK41,NA,None
NCBIGene:57649,GENE,PHF12,NA,None
Xenbase:XB-GENE-968349,GENE,phf12,NA,None
NCBIGene:700842,GENE,NGLY1,NA,None
